fold_end,features,model,target,train_RMSE,RMSE
2015,reference,linear,cci_target_1d,8.790131708803719,8.724076685305219
2015,reference,linear,cci_target_2d,9.021685687771951,8.783086486471463
2015,reference,linear,cci_target_3d,9.091356035286225,8.846616172169199
2015,reference,small nonlinear,cci_target_1d,7.514757076789367,8.759692613473415
2015,reference,small nonlinear,cci_target_2d,7.767107646417579,8.952553232107604
2015,reference,small nonlinear,cci_target_3d,7.832393383638856,9.027589894096508
2015,recent changes,linear,cci_target_1d,8.770040360488897,8.711948148307053
2015,recent changes,linear,cci_target_2d,9.012427278851925,8.770259383264776
2015,recent changes,linear,cci_target_3d,9.08027711522359,8.843213047914972
2015,recent changes,small nonlinear,cci_target_1d,7.345240387804818,8.851160881813266
2015,recent changes,small nonlinear,cci_target_2d,7.636610305665121,9.008527879879964
2015,recent changes,small nonlinear,cci_target_3d,7.674502417690342,8.99104495661431
2015,changes + interactions,linear,cci_target_1d,8.709760700923676,8.593460673608005
2015,changes + interactions,linear,cci_target_2d,8.965325188971335,8.753867982903397
2015,changes + interactions,linear,cci_target_3d,9.055015138478478,8.835389076218481
2015,changes + interactions,small nonlinear,cci_target_1d,7.3197124136706195,8.863111503354322
2015,changes + interactions,small nonlinear,cci_target_2d,7.616635550323424,9.015898847263013
2015,changes + interactions,small nonlinear,cci_target_3d,7.626830068153286,9.090790358428
2017,reference,linear,cci_target_1d,8.779089503497712,8.626922894287427
2017,reference,linear,cci_target_2d,8.992191071584543,8.799628793418906
2017,reference,linear,cci_target_3d,9.061013695644979,8.922902954040827
2017,reference,small nonlinear,cci_target_1d,7.601274211687099,8.569028747527284
2017,reference,small nonlinear,cci_target_2d,7.890612253356691,8.79707992444561
2017,reference,small nonlinear,cci_target_3d,7.94527153375344,9.057811048210407
2017,recent changes,linear,cci_target_1d,8.758892097630266,8.646346774025865
2017,recent changes,linear,cci_target_2d,8.981603377191814,8.794945488416701
2017,recent changes,linear,cci_target_3d,9.05050146964458,8.930491012491474
2017,recent changes,small nonlinear,cci_target_1d,7.436804260247999,8.513865341330746
2017,recent changes,small nonlinear,cci_target_2d,7.731023145570778,8.749356119797872
2017,recent changes,small nonlinear,cci_target_3d,7.801580683851053,8.93659676801602
2017,changes + interactions,linear,cci_target_1d,8.692012483349991,8.676127928212694
2017,changes + interactions,linear,cci_target_2d,8.937895701947232,8.848066400956945
2017,changes + interactions,linear,cci_target_3d,9.027223040791723,8.959041416127357
2017,changes + interactions,small nonlinear,cci_target_1d,7.434825066590803,8.572994641021396
2017,changes + interactions,small nonlinear,cci_target_2d,7.726233152175068,8.76831280773804
2017,changes + interactions,small nonlinear,cci_target_3d,7.771255527719912,8.957706592492078
2019,reference,linear,cci_target_1d,8.761419158862056,10.094538030188861
2019,reference,linear,cci_target_2d,8.970429041194352,10.452039115958657
2019,reference,linear,cci_target_3d,9.044895090932176,10.55400899534135
2019,reference,small nonlinear,cci_target_1d,7.680371462647062,10.196716626699384
2019,reference,small nonlinear,cci_target_2d,7.934099674054969,10.587558097386625
2019,reference,small nonlinear,cci_target_3d,7.998841645182461,10.660277165479112
2019,recent changes,linear,cci_target_1d,8.744121760909794,10.05624358929349
2019,recent changes,linear,cci_target_2d,8.960136111474663,10.42987525034825
2019,recent changes,linear,cci_target_3d,9.03559718374418,10.568079692646887
2019,recent changes,small nonlinear,cci_target_1d,7.529944813396482,10.146655196548364
2019,recent changes,small nonlinear,cci_target_2d,7.77804329732924,10.45998864470471
2019,recent changes,small nonlinear,cci_target_3d,7.858846192728203,10.71448090862456
2019,changes + interactions,linear,cci_target_1d,8.685861093588265,10.031873952780934
2019,changes + interactions,linear,cci_target_2d,8.924797177879544,10.386274196634337
2019,changes + interactions,linear,cci_target_3d,9.016889265185577,10.51512433250624
2019,changes + interactions,small nonlinear,cci_target_1d,7.488909782856978,10.130625848621737
2019,changes + interactions,small nonlinear,cci_target_2d,7.776719523239895,10.429453312562261
2019,changes + interactions,small nonlinear,cci_target_3d,7.8630461502029165,10.720705188405605
2021,reference,linear,cci_target_1d,8.884752652714841,9.458491662180304
2021,reference,linear,cci_target_2d,9.108057353953605,9.887748320790463
2021,reference,linear,cci_target_3d,9.184926579776645,10.017100087708515
2021,reference,small nonlinear,cci_target_1d,7.831417652623297,9.704600684410517
2021,reference,small nonlinear,cci_target_2d,8.117628583778224,10.062077533784105
2021,reference,small nonlinear,cci_target_3d,8.206988866711006,10.272423571124452
2021,recent changes,linear,cci_target_1d,8.864762025917749,9.455178347927578
2021,recent changes,linear,cci_target_2d,9.096376690071903,9.922043344416263
2021,recent changes,linear,cci_target_3d,9.177307066265335,10.039740569178756
2021,recent changes,small nonlinear,cci_target_1d,7.681139575441132,9.63945907516375
2021,recent changes,small nonlinear,cci_target_2d,8.000783183047776,10.120215188179472
2021,recent changes,small nonlinear,cci_target_3d,8.060613159767417,10.276974823504004
2021,changes + interactions,linear,cci_target_1d,8.809030513851917,9.48721543069318
2021,changes + interactions,linear,cci_target_2d,9.059391665098863,9.951393709912175
2021,changes + interactions,linear,cci_target_3d,9.154297244638887,10.064552344528797
2021,changes + interactions,small nonlinear,cci_target_1d,7.666790827864115,9.67687967253564
2021,changes + interactions,small nonlinear,cci_target_2d,7.9751543626909465,10.050752568026107
2021,changes + interactions,small nonlinear,cci_target_3d,8.074913873518069,10.279859365516481
